Theta, Alpha, Low_beta, High_beta, Gamma
9.39699673242 , 5.77582647265 , 3.3092866336 , 3.07258486928 , 2.36232548653 ,
8.83411858037 , 5.67792200048 , 3.18858519952 , 3.13844815656 , 2.52677308259 ,
6.93924389026 , 3.47814431856 , 2.64823516843 , 1.12416005941 , 1.1465893882 ,
3.87487593273 , 1.70921451798 , 6.50379597957 , 2.08043771202 , 2.18176486728 ,
7.40049884075 , 3.71354702335 , 5.76788616889 , 5.10845450367 , 10.1038689735 ,
9.39699673242 , 5.77582647265 , 3.3092866336 , 3.07258486928 , 2.36232548653 ,
8.83411858037 , 5.67792200048 , 3.18858519952 , 3.13844815656 , 2.52677308259 ,
6.93924389026 , 3.47814431856 , 2.64823516843 , 1.12416005941 , 1.1465893882 ,
3.87487593273 , 1.70921451798 , 6.50379597957 , 2.08043771202 , 2.18176486728 ,
7.40049884075 , 3.71354702335 , 5.76788616889 , 5.10845450367 , 10.1038689735 ,
9.39699673242 , 5.77582647265 , 3.3092866336 , 3.07258486928 , 2.36232548653 ,
10.0077012524 , 6.14506203489 , 4.85776780147 , 2.54788097968 , 3.09212199447 ,
4.94142830674 , 4.03219516773 , 3.77779914925 , 1.17727494806 , 1.52909799684 ,
3.44908039434 , 1.5623187585 , 9.59972894615 , 2.05539912644 , 2.72045944817 ,
7.37815964178 , 4.61204741614 , 6.16881128398 , 10.0027412616 , 14.813350388 ,
10.5244221717 , 5.40939000928 , 4.70034304837 , 2.31123210619 , 2.96078198241 ,
10.0077012524 , 6.14506203489 , 4.85776780147 , 2.54788097968 , 3.09212199447 ,
4.94142830674 , 4.03219516773 , 3.77779914925 , 1.17727494806 , 1.52909799684 ,
3.44908039434 , 1.5623187585 , 9.59972894615 , 2.05539912644 , 2.72045944817 ,
7.37815964178 , 4.61204741614 , 6.16881128398 , 10.0027412616 , 14.813350388 ,
10.5244221717 , 5.40939000928 , 4.70034304837 , 2.31123210619 , 2.96078198241 ,
10.0077012524 , 6.14506203489 , 4.85776780147 , 2.54788097968 , 3.09212199447 ,
4.94142830674 , 4.03219516773 , 3.77779914925 , 1.17727494806 , 1.52909799684 ,
3.44908039434 , 1.5623187585 , 9.59972894615 , 2.05539912644 , 2.72045944817 ,
7.37815964178 , 4.61204741614 , 6.16881128398 , 10.0027412616 , 14.813350388 ,
10.5244221717 , 5.40939000928 , 4.70034304837 , 2.31123210619 , 2.96078198241 ,
10.0077012524 , 6.14506203489 , 4.85776780147 , 2.54788097968 , 3.09212199447 ,
4.94142830674 , 4.03219516773 , 3.77779914925 , 1.17727494806 , 1.52909799684 ,
3.44908039434 , 1.5623187585 , 9.59972894615 , 2.05539912644 , 2.72045944817 ,
7.37815964178 , 4.61204741614 , 6.16881128398 , 10.0027412616 , 14.813350388 ,
10.5244221717 , 5.40939000928 , 4.70034304837 , 2.31123210619 , 2.96078198241 ,
5.99341659703 , 5.97839491332 , 8.67153839763 , 3.34673356584 , 2.80558067191 ,
3.622404719 , 3.00139415215 , 2.83904573752 , 1.00024688642 , 1.14333805315 ,
5.15861572041 , 1.86205903987 , 6.85305211138 , 2.8076400911 , 2.61680855805 ,
11.3848907536 , 8.73647394136 , 4.36183674911 , 9.84243035918 , 9.48407904685 ,
5.55177865363 , 5.63059805026 , 7.59897011631 , 2.99816184831 , 2.75820362659 ,
5.99341659703 , 5.97839491332 , 8.67153839763 , 3.34673356584 , 2.80558067191 ,
3.622404719 , 3.00139415215 , 2.83904573752 , 1.00024688642 , 1.14333805315 ,
5.15861572041 , 1.86205903987 , 6.85305211138 , 2.8076400911 , 2.61680855805 ,
11.3848907536 , 8.73647394136 , 4.36183674911 , 9.84243035918 , 9.48407904685 ,
5.55177865363 , 5.63059805026 , 7.59897011631 , 2.99816184831 , 2.75820362659 ,
5.99341659703 , 5.97839491332 , 8.67153839763 , 3.34673356584 , 2.80558067191 ,
