Theta, Alpha, Low_beta, High_beta, Gamma
0.166375907,0.209850686,0.288878421,0.120190507,0.066508794
1.108391791,0.863474937,0.492342987,0.289987684,0.302483111
1.822904565,0.272750399,1.164787684,0.495077728,0.180025322
1.277869564,0.583558908,0.593369838,0.261095045,0.138223654
1.358572258,0.678667787,0.786634842,0.310240626,0.128263152
0.166375907,0.209850686,0.288878421,0.120190507,0.066508794
1.108391791,0.863474937,0.492342987,0.289987684,0.302483111
1.822904565,0.272750399,1.164787684,0.495077728,0.180025322
1.277869564,0.583558908,0.593369838,0.261095045,0.138223654
0.954084257,0.754069577,0.651236098,0.236311937,0.107724858
0.516770287,0.293440519,0.356501579,0.118767639,0.119928311
0.843082918,0.759973755,0.471980469,0.259037362,0.265170544
1.72975316,0.249850764,0.523469813,0.306319427,0.227599909
1.22886635,0.623526601,0.607166209,0.261074874,0.148615545
0.954084257,0.754069577,0.651236098,0.236311937,0.107724858
0.516770287,0.293440519,0.356501579,0.118767639,0.119928311
0.843082918,0.759973755,0.471980469,0.259037362,0.265170544
1.72975316,0.249850764,0.523469813,0.306319427,0.227599909
1.22886635,0.623526601,0.607166209,0.261074874,0.148615545
0.954084257,0.754069577,0.651236098,0.236311937,0.107724858
0.516770287,0.293440519,0.356501579,0.118767639,0.119928311
0.843082918,0.759973755,0.471980469,0.259037362,0.265170544
1.72975316,0.249850764,0.523469813,0.306319427,0.227599909
1.22886635,0.623526601,0.607166209,0.261074874,0.148615545
0.954084257,0.754069577,0.651236098,0.236311937,0.107724858
0.516770287,0.293440519,0.356501579,0.118767639,0.119928311
0.843082918,0.759973755,0.471980469,0.259037362,0.265170544
1.72975316,0.249850764,0.523469813,0.306319427,0.227599909
1.22886635,0.623526601,0.607166209,0.261074874,0.148615545
0.954084257,0.754069577,0.651236098,0.236311937,0.107724858
0.516770287,0.293440519,0.356501579,0.118767639,0.119928311
0.843082918,0.759973755,0.471980469,0.259037362,0.265170544
1.72975316,0.249850764,0.523469813,0.306319427,0.227599909
1.22886635,0.623526601,0.607166209,0.261074874,0.148615545
1.615763557,0.421438321,0.82635411,0.282365805,0.107000315
1.10305686,0.32480115,0.310233438,0.089949889,0.087588441
2.070805535,0.933203285,0.367019996,0.216606511,0.230261475
0.873117547,0.35632414,0.785599414,0.36692613,0.262965107
2.085496683,0.646480975,0.80641576,0.265910625,0.132748555
1.615763557,0.421438321,0.82635411,0.282365805,0.107000315
1.10305686,0.32480115,0.310233438,0.089949889,0.087588441
2.070805535,0.933203285,0.367019996,0.216606511,0.230261475
0.873117547,0.35632414,0.785599414,0.36692613,0.262965107
2.085496683,0.646480975,0.80641576,0.265910625,0.132748555
1.615763557,0.421438321,0.82635411,0.282365805,0.107000315
1.10305686,0.32480115,0.310233438,0.089949889,0.087588441
2.070805535,0.933203285,0.367019996,0.216606511,0.230261475
0.873117547,0.35632414,0.785599414,0.36692613,0.262965107
2.085496683,0.646480975,0.80641576,0.265910625,0.132748555
1.615763557,0.421438321,0.82635411,0.282365805,0.107000315
1.10305686,0.32480115,0.310233438,0.089949889,0.087588441
2.070805535,0.933203285,0.367019996,0.216606511,0.230261475
0.873117547,0.35632414,0.785599414,0.36692613,0.262965107
2.085496683,0.646480975,0.80641576,0.265910625,0.132748555
1.615763557,0.421438321,0.82635411,0.282365805,0.107000315
1.10305686,0.32480115,0.310233438,0.089949889,0.087588441
2.070805535,0.933203285,0.367019996,0.216606511,0.230261475
0.873117547,0.35632414,0.785599414,0.36692613,0.262965107
2.085496683,0.646480975,0.80641576,0.265910625,0.132748555
2.548737004,0.24176049,0.59673483,0.347530682,0.105238417
1.219038993,0.268679737,0.39104822,0.109317061,0.090749115
1.613774592,0.769606033,0.515563285,0.309638101,0.239282964
1.30406685,0.277458241,0.717885107,0.592558501,0.264200836
3.092348187,0.387104219,0.614100507,0.331690109,0.181459344
2.548737004,0.24176049,0.59673483,0.347530682,0.105238417
1.219038993,0.268679737,0.39104822,0.109317061,0.090749115
1.613774592,0.769606033,0.515563285,0.309638101,0.239282964
1.30406685,0.277458241,0.717885107,0.592558501,0.264200836
3.092348187,0.387104219,0.614100507,0.331690109,0.181459344
2.548737004,0.24176049,0.59673483,0.347530682,0.105238417
1.219038993,0.268679737,0.39104822,0.109317061,0.090749115
1.613774592,0.769606033,0.515563285,0.309638101,0.239282964
1.30406685,0.277458241,0.717885107,0.592558501,0.264200836
3.092348187,0.387104219,0.614100507,0.331690109,0.181459344
2.548737004,0.24176049,0.59673483,0.347530682,0.105238417
1.219038993,0.268679737,0.39104822,0.109317061,0.090749115
1.613774592,0.769606033,0.515563285,0.309638101,0.239282964
1.30406685,0.277458241,0.717885107,0.592558501,0.264200836
3.092348187,0.387104219,0.614100507,0.331690109,0.181459344
2.548737004,0.24176049,0.59673483,0.347530682,0.105238417
1.219038993,0.268679737,0.39104822,0.109317061,0.090749115
1.613774592,0.769606033,0.515563285,0.309638101,0.239282964
1.30406685,0.277458241,0.717885107,0.592558501,0.264200836
3.092348187,0.387104219,0.614100507,0.331690109,0.181459344
1.317921732,0.569623012,0.889721321,0.241599812,0.154689199
0.851794204,0.470372278,0.414587671,0.136610279,0.136466933
